City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Hamilton,US,39.1834,-84.5333,72.37,91,40,0.0,scattered clouds
219,Meulaboh,ID,4.1363,96.1285,80.17,78,95,2.26,overcast clouds
220,Timbiquí,CO,2.7717,-77.6654,75.54,94,91,3.53,moderate rain
221,Srednekolymsk,RU,67.45,153.6833,27.82,75,95,15.52,overcast clouds
222,Głowno,PL,51.9646,19.7157,53.58,100,58,7.96,broken clouds
223,Sosnovo-Ozerskoye,RU,52.5249,111.5418,36.75,55,35,3.98,scattered clouds
224,Siddipet,IN,18.1,78.85,75.18,89,100,5.01,overcast clouds
225,Taksimo,RU,56.3444,114.8794,40.06,54,68,1.54,broken clouds
226,Bredasdorp,ZA,-34.5322,20.0403,45.28,73,39,5.86,scattered clouds
227,Tazmalt,DZ,36.3868,4.3989,70.18,62,0,3.24,clear sky
228,Kumul,CN,42.8,93.45,51.21,34,100,9.8,overcast clouds
229,Abu Dhabi,AE,24.4667,54.3667,89.62,79,99,3.44,overcast clouds
230,Adrar,MR,20.5022,-10.0711,86.02,14,1,3.53,clear sky
231,Kempsey,AU,-31.0833,152.8333,79.45,40,7,3.0,clear sky
232,Haines Junction,CA,60.7522,-137.5108,34.75,92,100,5.64,overcast clouds
233,Sola,VU,-13.8833,167.55,78.96,81,100,14.9,light rain
234,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,8.05,clear sky
235,Arroyo de la Encomienda,ES,41.6096,-4.7969,62.73,80,20,16.11,few clouds
236,Halifax,CA,44.6453,-63.5724,48.69,93,57,4.7,broken clouds
237,Kavieng,PG,-2.5744,150.7967,85.26,64,21,4.5,few clouds
238,Tateyama,JP,34.9833,139.8667,81.14,75,0,6.98,clear sky
239,Pelym,RU,61.0108,61.9978,28.71,97,76,4.9,broken clouds
240,Lagoa,PT,39.05,-27.9833,69.69,86,99,11.65,overcast clouds
241,Quimper,FR,48.0,-4.1,54.28,100,90,3.44,light rain
242,Inta,RU,66.0317,60.1659,30.43,90,15,1.59,few clouds
243,Meiringen,CH,46.7268,8.184,63.0,82,100,11.92,overcast clouds
244,San Juan,AR,-31.5375,-68.5364,59.72,19,63,15.99,broken clouds
245,Samarai,PG,-10.6167,150.6667,82.98,73,12,8.19,few clouds
246,Dabat,ET,12.9842,37.765,53.04,76,100,3.62,overcast clouds
247,Kenai,US,60.5544,-151.2583,41.14,63,90,11.5,overcast clouds
248,Iqaluit,CA,63.7506,-68.5145,31.69,70,0,2.59,clear sky
249,Hualmay,PE,-11.0964,-77.6139,61.9,86,51,7.05,broken clouds
250,Shaunavon,CA,49.6501,-108.4181,59.52,29,72,8.75,broken clouds
251,Huzhou,CN,30.8703,120.0933,82.47,59,5,12.93,clear sky
252,Butaritari,KI,3.0707,172.7902,82.15,68,23,18.25,few clouds
253,Vaitape,PF,-16.5167,-151.75,78.87,72,13,13.65,few clouds
254,Carutapera,BR,-1.195,-46.02,77.95,77,6,7.18,clear sky
255,Marystown,CA,47.1666,-55.1483,57.85,100,69,7.38,broken clouds
256,Fairbanks,US,64.8378,-147.7164,35.1,95,90,3.44,mist
257,Ntcheu,MW,-14.8203,34.6359,67.55,59,1,3.51,clear sky
258,Banda Aceh,ID,5.5577,95.3222,81.88,77,91,3.42,overcast clouds
259,Khovd,MN,48.0056,91.6419,35.31,32,2,4.36,clear sky
260,Sehore,IN,23.2,77.0833,75.47,88,29,2.82,scattered clouds
261,Yangi Marg`ilon,UZ,40.4272,71.7189,52.52,46,93,2.3,overcast clouds
262,Nauta,PE,-4.5061,-73.5757,77.58,78,9,2.21,clear sky
263,Ust'-Uda,RU,54.1742,103.0304,38.52,72,100,3.04,overcast clouds
264,Bend,US,44.0582,-121.3153,67.28,42,1,1.01,clear sky
265,Broome,US,42.2506,-75.833,61.36,73,100,1.01,overcast clouds
266,Khatanga,RU,71.9667,102.5,18.77,94,68,1.95,broken clouds
267,Atar,MR,20.5169,-13.0499,88.2,26,50,3.13,scattered clouds
268,Tūkrah,LY,32.5341,20.5791,68.74,66,0,10.45,clear sky
269,Fort Nelson,CA,58.8053,-122.7002,45.36,46,85,5.37,overcast clouds
270,Husavik,IS,66.0449,-17.3389,41.04,98,100,25.81,overcast clouds
271,Challapata,BO,-18.9,-66.7667,49.96,17,0,5.7,clear sky
